

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
050.006  000.147  000.147: require('nvim-tree.marks.bulk-move')
050.065  006.077  000.325: require('nvim-tree.api')
050.078  006.240  000.163: require('nvim-tree.commands')
050.236  000.156  000.156: require('nvim-tree.legacy')
050.292  016.278  000.785: require('nvim-tree')
076.288  000.932  000.932: require('nvim-web-devicons.icons-default')
076.385  001.507  000.575: require('nvim-web-devicons')
079.860  045.894  028.109: require('core.plugin_config.nvim-tree')
081.756  000.234  000.234: require('vim.treesitter.language')
081.769  000.718  000.483: require('vim.treesitter.query')
082.364  000.592  000.592: require('vim.treesitter.languagetree')
082.411  001.642  000.332: require('vim.treesitter')
082.417  001.763  000.121: require('nvim-treesitter.compat')
085.239  001.779  001.779: require('nvim-treesitter.parsers')
085.528  000.280  000.280: require('nvim-treesitter.utils')
085.538  002.820  000.761: require('nvim-treesitter.ts_utils')
085.545  003.125  000.305: require('nvim-treesitter.tsrange')
085.698  000.150  000.150: require('nvim-treesitter.caching')
085.736  005.399  000.361: require('nvim-treesitter.query')
085.754  005.825  000.426: require('nvim-treesitter.configs')
086.697  000.215  000.215: require('nvim-treesitter.info')
086.998  000.297  000.297: require('nvim-treesitter.shell_command_selectors')
087.030  001.164  000.652: require('nvim-treesitter.install')
089.889  010.022  003.033: require('core.plugin_config.treesitter')
092.168  000.175  000.175: require('plenary.tbl')
092.181  000.388  000.213: require('plenary.vararg.rotate')
092.183  000.549  000.162: require('plenary.vararg')
092.359  000.172  000.172: require('plenary.errors')
092.573  000.211  000.211: require('plenary.functional')
092.579  001.217  000.285: require('plenary.async.async')
092.738  000.158  000.158: require('plenary.async.structs')
092.746  001.736  000.362: require('plenary.async.control')
095.067  000.283  000.283: require('plenary.bit')
095.093  000.015  000.015: require('ffi')
095.119  000.946  000.649: require('plenary.path')
095.136  001.193  000.247: require('plenary.strings')
095.289  000.150  000.150: require('telescope.deprecated')
096.667  000.576  000.576: require('plenary.log')
096.733  000.847  000.271: require('telescope.log')
098.205  000.786  000.786: require('plenary.job')
098.391  000.178  000.178: require('telescope.state')
098.405  001.669  000.706: require('telescope.utils')
098.415  003.121  000.606: require('telescope.sorters')
098.555  000.123  000.123: require('vim.inspect')
100.225  006.630  002.042: require('telescope.config')
100.950  000.307  000.307: require('plenary.window.border')
101.076  000.123  000.123: require('plenary.window')
101.200  000.122  000.122: require('plenary.popup.utils')
101.205  000.975  000.424: require('plenary.popup')
101.399  000.192  000.192: require('telescope.pickers.scroller')
101.550  000.149  000.149: require('telescope.actions.state')
101.769  000.216  000.216: require('telescope.actions.utils')
102.277  000.253  000.253: require('telescope.actions.mt')
102.313  000.542  000.289: require('telescope.actions.set')
102.745  000.226  000.226: require('telescope.config.resolve')
102.748  000.433  000.208: require('telescope.pickers.entry_display')
102.881  000.131  000.131: require('telescope.from_entry')
103.106  010.358  001.091: require('telescope.actions')
104.472  001.128  001.128: require('telescope.make_entry')
105.210  000.240  000.240: require('plenary.async.util')
105.214  000.408  000.168: require('plenary.async.tests')
105.217  000.583  000.175: require('plenary.async')
105.219  000.744  000.161: require('telescope.finders.async_static_finder')
105.973  000.213  000.213: require('plenary.class')
106.007  000.595  000.383: require('telescope._')
106.010  000.789  000.194: require('telescope.finders.async_oneshot_finder')
106.293  000.282  000.282: require('telescope.finders.async_job_finder')
106.330  003.221  000.278: require('telescope.finders')
110.561  000.185  000.185: require('telescope._extensions')
110.569  000.412  000.228: require('telescope')
110.954  000.381  000.381: require('telescope.debounce')
111.290  000.333  000.333: require('telescope.mappings')
111.497  000.203  000.203: require('telescope.pickers.highlights')
111.641  000.141  000.141: require('telescope.pickers.window')
112.059  000.207  000.207: require('telescope.algos.linked_list')
112.063  000.420  000.213: require('telescope.entry_manager')
112.208  000.143  000.143: require('telescope.pickers.multi')
112.224  005.891  003.858: require('telescope.pickers')
112.233  021.820  000.614: require('telescope.builtin.__lsp')
112.268  022.275  000.455: require('telescope.builtin')
112.509  022.608  000.333: require('core.plugin_config.telescope')
112.548  000.036  000.036: require('core.plugin_config.emmet')
112.825  000.112  000.112: require('mason-core.path')
113.241  000.195  000.195: require('mason-core.functional')
113.476  000.079  000.079: require('mason-core.functional.data')
113.483  000.229  000.150: require('mason-core.functional.function')
113.587  000.088  000.088: require('mason-core.functional.relation')
113.947  000.138  000.138: require('mason-core.functional.logic')
113.965  001.138  000.488: require('mason-core.platform')
114.093  000.126  000.126: require('mason.settings')
114.096  001.479  000.104: require('mason')
114.585  000.214  000.214: require('mason-core.functional.list')
114.729  000.139  000.139: require('mason-core.functional.string')
114.755  000.646  000.292: require('mason.api.command')
114.921  000.154  000.154: require('mason-registry.sources')
115.384  000.224  000.224: require('mason-core.log')
115.462  000.075  000.075: require('mason-lspconfig.settings')
115.467  000.489  000.190: require('mason-lspconfig')
115.678  000.070  000.070: require('mason-lspconfig.notify')
115.683  000.206  000.137: require('mason-lspconfig.lspconfig_hook')
118.029  000.291  000.291: require('vim.lsp.log')
118.873  000.840  000.840: require('vim.lsp.protocol')
120.516  000.410  000.410: require('vim.lsp._snippet')
120.736  000.216  000.216: require('vim.highlight')
120.753  001.876  001.250: require('vim.lsp.util')
120.772  003.506  000.499: require('vim.lsp.handlers')
121.488  000.714  000.714: require('vim.lsp.rpc')
121.821  000.328  000.328: require('vim.lsp.sync')
122.498  000.673  000.673: require('vim.lsp.buf')
122.757  000.256  000.256: require('vim.lsp.diagnostic')
123.050  000.289  000.289: require('vim.lsp.codelens')
123.099  007.073  001.306: require('vim.lsp')
123.188  007.503  000.430: require('lspconfig.util')
123.503  000.126  000.126: require('mason-core.functional.table')
123.571  000.380  000.254: require('mason-lspconfig.mappings.server')
123.923  000.139  000.139: require('mason-core.EventEmitter')
124.045  000.119  000.119: require('mason-core.optional')
124.433  000.224  000.224: require('mason-core.async')
124.515  000.078  000.078: require('mason-core.async.uv')
124.521  000.474  000.171: require('mason-core.fs')
124.547  000.973  000.242: require('mason-registry')
124.616  000.066  000.066: require('mason-lspconfig.server_config_extensions')
125.048  000.135  000.135: require('lspconfig.async')
125.054  000.435  000.301: require('lspconfig.configs')
125.203  000.148  000.148: require('lspconfig.server_configurations.omnisharp')
125.387  000.102  000.102: require('mason-lspconfig.ensure_installed')
125.771  000.178  000.178: require('mason-core.result')
126.298  000.262  000.262: require('mason-core.process')
126.628  000.327  000.327: require('mason-core.spawn')
126.633  000.699  000.111: require('mason-core.managers.powershell')
126.716  000.082  000.082: require('mason.version')
